"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal"
"Nível","Cód.","Município","Ano x Tipo de produto de origem animal"
"Nível","Cód.","Município","2004",,,,"2005",,,,"2006",,,,"2007",,,,"2008",,,,"2009",,,,"2010",,,,"2011",,,,"2012",,,,"2013",,,,"2014",,,,"2015",,,,"2016",,,,"2017",,,,"2018",,,,"2019",,,,"2020",,,,"2021",,,,"2022",,,,"2023",,,,"2024"
"Nível","Cód.","Município","Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite"
"MU","1302009","Itapiranga (AM)","..","","405","Mil litros","..","","405","Mil litros","..","","419","Mil litros","..","","3","Mil litros","..","","3","Mil litros","..","","4","Mil litros","..","","7","Mil litros","..","","34","Mil litros","..","","34","Mil litros","..","","29","Mil litros","..","","36","Mil litros","..","","36","Mil litros","..","","72","Mil litros","..","","65","Mil litros","..","","78","Mil litros","..","","71","Mil litros","..","","69","Mil litros","..","","67","Mil litros","..","","60","Mil litros","..","","57","Mil litros","..","","64","Mil litros"
"MU","1302108","Japurá (AM)","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","90","Mil litros","..","","95","Mil litros","..","","30","Mil litros","..","","33","Mil litros","..","","33","Mil litros","..","","30","Mil litros","..","","15","Mil litros","..","","13","Mil litros","..","","15","Mil litros","..","","15","Mil litros","..","","15","Mil litros","..","","14","Mil litros","..","","14","Mil litros","..","","47","Mil litros","..","","55","Mil litros"
"MU","1302207","Juruá (AM)","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","7","Mil litros","..","","7","Mil litros","..","","5","Mil litros","..","","5","Mil litros","..","","3","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","1","Mil litros","..","","1","Mil litros","..","","1","Mil litros","..","","1","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","5","Mil litros"
"MU","1302306","Jutaí (AM)","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","16","Mil litros","..","","16","Mil litros","..","","17","Mil litros","..","","12","Mil litros","..","","17","Mil litros","..","","17","Mil litros","..","","18","Mil litros","..","","18","Mil litros","..","","36","Mil litros","..","","43","Mil litros","..","","40","Mil litros","..","","35","Mil litros","..","","28","Mil litros","..","","28","Mil litros","..","","27","Mil litros","..","","30","Mil litros","..","","25","Mil litros","..","","45","Mil litros"
"MU","1302405","Lábrea (AM)","..","","158","Mil litros","..","","162","Mil litros","..","","165","Mil litros","..","","90","Mil litros","..","","143","Mil litros","..","","196","Mil litros","..","","285","Mil litros","..","","335","Mil litros","..","","691","Mil litros","..","","710","Mil litros","..","","705","Mil litros","..","","645","Mil litros","..","","645","Mil litros","..","","700","Mil litros","..","","750","Mil litros","..","","690","Mil litros","..","","696","Mil litros","..","","714","Mil litros","..","","720","Mil litros","..","","710","Mil litros","..","","800","Mil litros"
"MU","1302504","Manacapuru (AM)","..","","977","Mil litros","..","","977","Mil litros","..","","1011","Mil litros","..","","189","Mil litros","..","","602","Mil litros","..","","33","Mil litros","..","","65","Mil litros","..","","261","Mil litros","..","","610","Mil litros","..","","610","Mil litros","..","","580","Mil litros","..","","400","Mil litros","..","","450","Mil litros","..","","274","Mil litros","..","","355","Mil litros","..","","365","Mil litros","..","","262","Mil litros","..","","272","Mil litros","..","","250","Mil litros","..","","560","Mil litros","..","","657","Mil litros"
"MU","1302553","Manaquiri (AM)","..","","154","Mil litros","..","","154","Mil litros","..","","160","Mil litros","..","","1","Mil litros","..","","20","Mil litros","..","","320","Mil litros","..","","310","Mil litros","..","","526","Mil litros","..","","220","Mil litros","..","","185","Mil litros","..","","180","Mil litros","..","","95","Mil litros","..","","90","Mil litros","..","","92","Mil litros","..","","90","Mil litros","..","","93","Mil litros","..","","95","Mil litros","..","","91","Mil litros","..","","92","Mil litros","..","","90","Mil litros","..","","427","Mil litros"
"MU","1302603","Manaus (AM)","..","","1536","Mil litros","..","","1536","Mil litros","..","","1589","Mil litros","..","","333","Mil litros","..","","348","Mil litros","..","","352","Mil litros","..","","811","Mil litros","..","","715","Mil litros","..","","599","Mil litros","..","","588","Mil litros","..","","521","Mil litros","..","","498","Mil litros","..","","540","Mil litros","..","","500","Mil litros","..","","350","Mil litros","..","","237","Mil litros","..","","230","Mil litros","..","","240","Mil litros","..","","254","Mil litros","..","","398","Mil litros","..","","900","Mil litros"
"MU","1302702","Manicoré (AM)","..","","293","Mil litros","..","","309","Mil litros","..","","318","Mil litros","..","","683","Mil litros","..","","513","Mil litros","..","","521","Mil litros","..","","878","Mil litros","..","","1150","Mil litros","..","","1356","Mil litros","..","","1086","Mil litros","..","","2920","Mil litros","..","","2890","Mil litros","..","","2803","Mil litros","..","","3179","Mil litros","..","","3200","Mil litros","..","","3150","Mil litros","..","","3300","Mil litros","..","","3390","Mil litros","..","","3375","Mil litros","..","","3105","Mil litros","..","","3100","Mil litros"
"MU","1302801","Maraã (AM)","..","","6","Mil litros","..","","6","Mil litros","..","","8","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","4","Mil litros","..","","4","Mil litros","..","","4","Mil litros","..","","3","Mil litros","..","","3","Mil litros","..","","-","Mil litros","..","","12","Mil litros"
